date,avg_rn(mm),max_rn(mm),avg_tem(C),avg_max_tem(C),max_tem(C),avg_min_tem(C),min_tem(C),tem_range,avg_wd(m/s),max_wd(m/s),max_inst_wd(m/s),avg_rhm(%rh),min_rhm(%rh),ss_sum,sr_sum
2019-12-31,0.1,10.2,-3.8,0.4,10.7,-6.7,-14.4,25.1,3.6,21.9,28.4,46,13,8.8,11.31
2019-12-30,0.9,3.5,5,9.8,15.5,0.1,-7.5,23,2.1,17.4,23.8,79,15,2.2,3.96
2019-12-29,6.2,34.3,2.6,6.6,17.3,-2.4,-8.9,26.2,1.2,18.1,21,73,26,0.2,3.33
2019-12-28,0,1,0.5,7.5,11.6,-4.9,-11.7,23.3,1.1,7.3,11.7,60,20,8.2,10.07
2019-12-27,0,5.9,0.6,5.1,9.6,-3.2,-11.3,20.9,2.4,21.5,25.9,53,14,8.2,10.36
2019-12-26,1.1,20.8,3.7,6.1,13.9,1.4,-4.9,18.8,2.1,22.7,27.1,68,25,0.3,2.47
2019-12-25,0,0.9,3.5,10.9,16.3,-3.2,-10.4,26.7,1.1,8.5,13.8,61,10,6.1,8.36
2019-12-24,0,2.1,2.1,9,14.4,-2,-10.9,25.3,1.2,8.6,11.8,71,13,7.5,9.44
2019-12-23,0.7,11.2,3.8,8.7,15.3,-1,-6.6,21.9,1.7,11.8,16.9,73,32,4.3,6.04
2019-12-22,0.1,13.6,3,9,12.5,-1.1,-6.9,19.4,1.1,10,14.8,70,31,3.5,6.44
2019-12-21,0.1,2.1,0.2,4.7,11.9,-4.1,-10,21.9,1.3,8.8,14.1,66,18,1.7,5.14
2019-12-20,0.1,2.4,1,5.4,11.9,-3,-9,20.9,1.7,13.3,15.7,60,17,6.4,8.67
2019-12-19,0,7.5,2.2,6.8,13.1,-1.3,-7.9,21,2.4,14.3,22.2,51,13,7.7,10.03
2019-12-18,0.4,9.8,4.6,8.5,15.7,1.8,-4.6,20.3,2.3,14.4,20.7,68,17,5.2,7.27
2019-12-17,2.2,16,8.3,12.5,19.8,3.9,-1.6,21.4,1.7,15.2,21.5,83,40,0.7,2.33
2019-12-16,0,2.7,7.1,14.1,18.8,1,-4.5,23.3,1.1,10.2,13.5,73,30,7,8.27
2019-12-15,0,0.4,4.7,12.4,17.8,-1.5,-10.2,28,1.2,7.6,11,69,27,7.1,8.94
2019-12-14,0.4,3.7,4,9,17.2,-0.1,-6,23.2,1.9,13.8,19.1,61,15,8.2,9.92
2019-12-13,0.1,3.6,1.6,8.1,15.7,-4.6,-9.9,25.6,1.3,14,18.2,56,6,6.8,8.23
2019-12-12,0,0.4,1.7,6.1,12.4,-2.4,-8.7,21.1,2.2,17.3,20.7,48,10,8.8,10.74
2019-12-11,0.2,2.2,6.9,13.3,19.2,1.8,-4.9,24.1,2.6,16.9,20.6,68,22,4.4,5.67
2019-12-10,0.4,6,6.5,13.4,19,1.5,-5.6,24.6,1.2,8.6,14,79,27,4.9,7.18
2019-12-09,0.1,4.5,3,10.1,15.7,-3.6,-9.6,25.3,1.3,8.2,11.5,69,20,6.2,8.01
2019-12-08,0,0,1.4,8,13.1,-3.3,-13.9,27,1.3,11.6,14.8,67,14,8.6,10.52
2019-12-07,0,1.1,0.1,6.1,11.7,-6.5,-12.1,23.8,1.6,13.7,17.9,62,20,6.1,7.74
2019-12-06,0,2.9,-3.2,2.3,10.4,-7.7,-15.6,26,2,12.6,16.8,45,9,8.1,10.8
2019-12-05,0,3.3,0.2,4.8,13.2,-4.4,-14.5,27.7,2.7,14.4,18.9,48,6,8.7,11.17
2019-12-04,0.1,2.6,4.2,9.5,15.5,-0.3,-8,23.5,1.5,11.5,16.6,61,20,7.7,10.22
2019-12-03,0.5,11.7,2.4,6.8,11.9,-2.7,-9.2,21.1,1.7,16.2,20.4,67,26,5.1,7.24
2019-12-02,0.2,4.2,3.6,6.8,14.9,0.2,-7.2,22.1,3.2,20,23.3,57,21,7.1,9.92
2019-12-01,12.5,38,6.3,8.1,17.5,4.7,-0.3,17.8,1.2,16.2,21.4,83,25,0,1.88
2019-11-30,0.1,12.2,5.4,12.7,18,-1.5,-8.2,26.2,1,8,11.9,63,20,6.2,9.18
2019-11-29,0,20,3.4,9.9,16,-1.2,-7.5,23.5,1.5,10.5,14.1,61,7,8.6,11.34
2019-11-28,3.1,52.4,4.7,10.4,16.9,0.3,-4.3,21.2,1.6,14,21.6,73,29,5.1,8.63
2019-11-27,1,25.4,6.2,9.7,15.4,2.6,-4,19.4,2.1,14.1,19.7,63,28,3.9,7.39
2019-11-26,0.5,14,7.7,13.5,17.2,2.6,-4,21.2,1.3,8.6,14,73,30,6.1,9.88
2019-11-25,3.5,71.1,5.9,10.6,17.8,3.3,-4.1,21.9,2.7,18.5,23.9,69,31,1.8,5.53
